Año,CodClasificaciónEconómica,ClasificaciónEconómica,CodClasificaciónFuncional,Millones Euros
1995,D.8,Ajustes por la variación de los derechos por pensiones,04.5,0.0
1995,P.5,Formación bruta de capital,04.5,7142.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,04.5,278.0
1995,D.9," Transferencias de capital, a pagar",04.5,4905.0
1995,D.1,Remuneración de asalariados,04.6,52.0
1995,P.2,Consumos intermedios,04.6,17.0
1995,D.29,Otros impuestos sobre la producción,04.6,0.0
1995,D.3,Subvenciones,04.6,182.0
1995,D.4,Rentas de la propiedad,04.6,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,04.6,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,04.6,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,04.6,0.0
1995,D.7,Otras transferencias corrientes,04.6,10.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,04.6,0.0
1995,P.5,Formación bruta de capital,04.6,57.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,04.6,0.0
1995,D.9," Transferencias de capital, a pagar",04.6,6.0
1995,D.1,Remuneración de asalariados,04.7,166.0
1995,P.2,Consumos intermedios,04.7,240.0
1995,D.29,Otros impuestos sobre la producción,04.7,0.0
1995,D.3,Subvenciones,04.7,148.0
1995,D.4,Rentas de la propiedad,04.7,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,04.7,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,04.7,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,04.7,0.0
1995,D.7,Otras transferencias corrientes,04.7,32.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,04.7,0.0
1995,P.5,Formación bruta de capital,04.7,466.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,04.7,10.0
1995,D.9," Transferencias de capital, a pagar",04.7,260.0
1995,D.1,Remuneración de asalariados,04.8,384.0
1995,P.2,Consumos intermedios,04.8,140.0
1995,D.29,Otros impuestos sobre la producción,04.8,0.0
1995,D.3,Subvenciones,04.8,15.0
1995,D.4,Rentas de la propiedad,04.8,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,04.8,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,04.8,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,04.8,0.0
1995,D.7,Otras transferencias corrientes,04.8,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,04.8,0.0
1995,P.5,Formación bruta de capital,04.8,774.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,04.8,0.0
1995,D.9," Transferencias de capital, a pagar",04.8,14.0
1995,D.1,Remuneración de asalariados,04.9,49.0
1995,P.2,Consumos intermedios,04.9,18.0
1995,D.29,Otros impuestos sobre la producción,04.9,1.0
1995,D.3,Subvenciones,04.9,12.0
1995,D.4,Rentas de la propiedad,04.9,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,04.9,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,04.9,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,04.9,0.0
1995,D.7,Otras transferencias corrientes,04.9,7.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,04.9,0.0
1995,P.5,Formación bruta de capital,04.9,47.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,04.9,21.0
1995,D.9," Transferencias de capital, a pagar",04.9,5.0
1995,D.1,Remuneración de asalariados,05.1,132.0
1995,P.2,Consumos intermedios,05.1,1568.0
1995,D.29,Otros impuestos sobre la producción,05.1,0.0
1995,D.3,Subvenciones,05.1,47.0
1995,D.4,Rentas de la propiedad,05.1,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,05.1,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,05.1,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,05.1,0.0
1995,D.7,Otras transferencias corrientes,05.1,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,05.1,0.0
1995,P.5,Formación bruta de capital,05.1,132.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,05.1,0.0
1995,D.9," Transferencias de capital, a pagar",05.1,16.0
1995,D.1,Remuneración de asalariados,05.2,30.0
1995,P.2,Consumos intermedios,05.2,209.0
1995,D.29,Otros impuestos sobre la producción,05.2,0.0
1995,D.3,Subvenciones,05.2,15.0
1995,D.4,Rentas de la propiedad,05.2,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,05.2,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,05.2,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,05.2,0.0
1995,D.7,Otras transferencias corrientes,05.2,1.0
